"FID","survey_id","country","area","ecoregion","realm","location","site_code","site_name","latitude","longitude","survey_date","depth","program","visibility","hour","survey_latitude","survey_longitude","method","block","phylum","class","order","family","species_name","reporting_name","size_class","total","biomass","geom","year","month"
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c1",912354460,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS233","Marion Central bommie",-19.18,152.27,"2020-12-29",9,"RLS",50,"11:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (152.27000427246094 -19.18000030517578)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c0",912354461,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","Coral Sea - South","CS51","Saumarez stripe seasnake",-21.92,153.59,"2020-12-22",6,"RLS",30,"8:00:00",-21.92,153.59,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus duboisii","Aipysurus duboisii",62.5,1,NA,"POINT (153.59 -21.92)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36bf",912354463,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","Coral Sea - South","CS48","Saumarez SW reef cay",-21.9,153.54,"2020-12-23",12,"RLS",40,"11:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (153.5399932861328 -21.899999618530273)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36be",912354468,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS219","Paget Cay Far North",-19.24,152.36,"2020-12-27",6,"RLS",40,"9:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (152.36000061035156 -19.239999771118164)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36bd",912354468,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS219","Paget Cay Far North",-19.24,152.36,"2020-12-27",6,"RLS",40,"9:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Emydocephalus annulatus","Emydocephalus annulatus",75,1,NA,"POINT (152.36000061035156 -19.239999771118164)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36bc",912354474,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS234","Marion Centre Bommie Nth",-19.17,152.27,"2020-12-29",10,"RLS",60,"9:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",75,1,NA,"POINT (152.27000427246094 -19.170000076293945)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36bb",912354474,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS234","Marion Centre Bommie Nth",-19.17,152.27,"2020-12-29",10,"RLS",60,"9:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (152.27000427246094 -19.170000076293945)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36ba",912354474,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS234","Marion Centre Bommie Nth",-19.17,152.27,"2020-12-29",10,"RLS",60,"9:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (152.27000427246094 -19.170000076293945)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36b9",912354475,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS233","Marion Central bommie",-19.18,152.27,"2020-12-29",15,"RLS",60,"11:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (152.27000427246094 -19.18000030517578)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36b4",923400490,"Australia","Northern Territory","Arnhem Coast to Gulf of Carpenteria","Central Indo-Pacific","Carpentaria","NT63","Arafura Shoal",-11.23,134.75,"2021-11-01",9.5,"RLS",15,"11:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (134.75 -11.229999542236328)",2021,11
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36b3",923400490,"Australia","Northern Territory","Arnhem Coast to Gulf of Carpenteria","Central Indo-Pacific","Carpentaria","NT63","Arafura Shoal",-11.23,134.75,"2021-11-01",9.5,"RLS",15,"11:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (134.75 -11.229999542236328)",2021,11
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36b2",923400502,"Australia","Western Australia","Exmouth to Broome","Central Indo-Pacific","Ashmore/Cartier","NWS2","Barracouta Shoal",-12.56,124.04,"2021-10-16",21.5,"RLS",40,"8:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",125,1,NA,"POINT (124.04000091552734 -12.5600004196167)",2021,10
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36b1",923400527,"Australia","Northern Territory","Bonaparte Coast","Central Indo-Pacific","Oceanic Shoals","OS4","Blackwood Shoal",-9.88,129.42,"2021-10-03",18,"RLS",30,"15:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",125,2,NA,"POINT (129.4199981689453 -9.880000114440918)",2021,10
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36b0",923400537,"Australia","Western Australia","Exmouth to Broome","Central Indo-Pacific","Ashmore/Cartier","NWS193","Cartier Island",-12.52,123.56,"2021-10-15",10,"RLS",20,"8:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (123.55999755859375 -12.520000457763672)",2021,10
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36af",923400533,"Australia","Western Australia","Exmouth to Broome","Central Indo-Pacific","Ashmore/Cartier","NWS6","Hibernia Lagoon SE2",-11.97,123.38,"2021-10-10",5,"RLS",40,"10:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (123.37999725341797 -11.970000267028809)",2021,10
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36ae",923400546,"Australia","Western Australia","Exmouth to Broome","Central Indo-Pacific","Ashmore/Cartier","NWS187","Cartier Reef Slope",-12.53,123.58,"2021-10-15",4,"RLS",40,"13:30:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",87.5,1,NA,"POINT (123.58000183105469 -12.529999732971191)",2021,10
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36ad",923400546,"Australia","Western Australia","Exmouth to Broome","Central Indo-Pacific","Ashmore/Cartier","NWS187","Cartier Reef Slope",-12.53,123.58,"2021-10-15",4,"RLS",40,"13:30:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,1,NA,"POINT (123.58000183105469 -12.529999732971191)",2021,10
