FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5665,923401437,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS31,Bird Lagoon,-22.18,155.47,2022-12-11,2,RLS,29,10:30:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (155.47000122070312 -22.18000030517578)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5666,923401437,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS31,Bird Lagoon,-22.18,155.47,2022-12-11,2,RLS,29,10:30:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,125,3,,POINT (155.47000122070312 -22.18000030517578)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5667,923401441,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS19,Cato Wreck,-23.26,155.54,2022-12-13,13,RLS,32,12:30:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.5399932861328 -23.260000228881836)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5668,923401442,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS238,North Kenn,-21.14,155.75,2022-12-09,11,RLS,38,7:15:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.75 -21.139999389648438)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5669,923401487,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS22,Cato Lagoon South,-23.25,155.55,2022-12-12,2.5,RLS,30,10:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,1,,POINT (155.5500030517578 -23.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_566a,923401539,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2022-12-09,13.5,RLS,30,15:45:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Acalyptophis peronii,Acalyptophis peronii,75,1,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_566b,923401540,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS52,Kenn Reef anchorage bommie,-21.26,155.75,2022-12-10,14,RLS,32,11:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,40,1,,POINT (155.75 -21.260000228881836)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_566c,923401542,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS59,Kenn Twin Bommies,-21.2,155.77,2022-12-09,6,RLS,30,10:40:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,112.5,1,,POINT (155.77000427246094 -21.200000762939453)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_566d,923401542,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS59,Kenn Twin Bommies,-21.2,155.77,2022-12-09,6,RLS,30,10:40:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,2,,POINT (155.77000427246094 -21.200000762939453)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_566e,923401550,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS40,Wreck Reef NE,-22.2,155.3,2022-12-14,7,RLS,36,14:30:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (155.3000030517578 -22.200000762939453)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_566f,923401560,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS57,Kenn Cave,-21.25,155.76,2022-12-09,8,RLS,32,15:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,40,1,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5670,923401567,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS39,Porpoise Lagoon,-22.19,155.36,2022-12-14,2.5,RLS,32,9:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5671,923401573,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS57,Kenn Cave,-21.25,155.76,2022-12-09,7,RLS,31,15:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5672,923401574,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS39,Porpoise Lagoon,-22.19,155.36,2022-12-14,3,RLS,32,9:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,30,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5673,923401611,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS31,Bird Lagoon,-22.18,155.47,2022-12-11,3.5,RLS,29,11:15:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (155.47000122070312 -22.18000030517578)
