FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c8,912350172,Australia,New South Wales,Lord Howe and Norfolk Islands,Central Indo-Pacific,Lord Howe Island,LHI26,Sylphs Hole inner,-31.52,159.05,2018-02-18,2,RLS,8,9:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,50,1,,POINT (159.0500030517578 -31.520000457763672)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c9,912350672,Australia,New South Wales,Manning-Hawkesbury,Temperate Australasia,Port Stephens,PS4,Governers Wharf (Fingal Island),-32.74,152.19,2014-06-22,8,RLS,10,9:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Caretta caretta,Caretta caretta,150,1,,POINT (152.19000244140625 -32.7400016784668)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55ca,912350740,Australia,New South Wales,Manning-Hawkesbury,Temperate Australasia,Sydney,SYD21,South Maroubra,-33.95,151.26,2018-03-17,8,RLS,8,9:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,75,1,,POINT (151.25999450683594 -33.95000076293945)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55cb,912351166,Australia,New South Wales,Lord Howe and Norfolk Islands,Central Indo-Pacific,Lord Howe Island,LHI18,Keyhole North,-31.5,159.07,2006-02-20,13,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (159.07000732421875 -31.5)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55cc,912351297,Australia,New South Wales,Manning-Hawkesbury,Temperate Australasia,Port Stephens,PS17,Fly Point Nelson Bay,-32.71,152.15,2018-07-29,6.4,RLS,6,9:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,40,1,,POINT (152.14999389648438 -32.709999084472656)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55cd,912351741,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD inshore - South,GBR121,Linne Island,-20.68,149.18,2018-01-24,3.5,RLS,5,15:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,62.5,1,,POINT (149.17999267578125 -20.68000030517578)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55ce,912351816,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS234,Marion Centre Bommie Nth,-19.17,152.27,2018-02-01,10,RLS,40,11:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (152.27000427246094 -19.170000076293945)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55cf,912351816,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS234,Marion Centre Bommie Nth,-19.17,152.27,2018-02-01,10,RLS,40,11:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,3,,POINT (152.27000427246094 -19.170000076293945)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d0,912351998,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS29,Moray Bommie,-14.13,121.95,2018-12-22,4,RLS,12,8:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Emydocephalus annulatus,Emydocephalus annulatus,112.5,1,,POINT (121.94999694824219 -14.130000114440918)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d1,912352006,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS174,North Scott Lagoon,-13.93,121.9,2018-12-24,4,RLS,12,10:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,87.5,1,,POINT (121.9000015258789 -13.930000305175781)
